year_code,quarter_code,commercial_district_code,total_foot_traffic_now,total_foot_traffic_previous,traffic_diff
2022,4,3110860,482868,470678,12190
2022,4,3110859,548656,586170,-37514
2022,4,3110858,629327,501948,127379
2022,4,3110857,1132823,1138167,-5344
2022,4,3110856,835019,855650,-20631
2022,4,3110855,1013672,1297288,-283616
2022,4,3110854,428460,389123,39337
2022,4,3110853,1782390,1531436,250954
2022,4,3110852,696344,720593,-24249
2022,4,3110851,1173490,998565,174925
2022,4,3110850,2561136,2412562,148574
2022,4,3110849,2101120,1830075,271045
2022,4,3110848,1288391,1517993,-229602
2022,4,3110847,802199,881655,-79456
2022,4,3110846,2608182,2855350,-247168
2022,4,3110845,382895,442874,-59979
2022,4,3110843,498170,459442,38728
2022,4,3110842,173070,149833,23237
2022,4,3110841,1119325,1476479,-357154
2022,4,3110840,1216624,775159,441465
2022,4,3110839,846028,681406,164622
2022,4,3110838,140439,136736,3703
2022,4,3110837,1746747,1896215,-149468
2022,4,3110836,1503815,1515417,-11602
2022,4,3110835,197660,147045,50615
2022,4,3110833,641701,568988,72713
2022,4,3110832,599736,571402,28334
2022,4,3110831,562511,535959,26552
2022,4,3110830,584694,594345,-9651
2022,4,3110829,764460,791760,-27300
2022,4,3110828,1733473,1805080,-71607
2022,4,3110827,530089,591449,-61360
2022,4,3110826,697268,729558,-32290
2022,4,3110825,2095170,1997829,97341
2022,4,3110824,201581,254429,-52848
2022,4,3110823,759148,675198,83950
2022,4,3110822,611208,580838,30370
2022,4,3110821,1431089,1351209,79880
2022,4,3110820,855746,884174,-28428
2022,4,3110819,936137,1028910,-92773
2022,4,3110818,302423,100164,202259
2022,4,3110817,379938,328015,51923
2022,4,3110816,947127,730810,216317
2022,4,3110815,1137636,1492977,-355341
2022,4,3110814,1258180,1392830,-134650
2022,4,3110813,1271843,1336169,-64326
2022,4,3110812,632185,605202,26983
2022,4,3110811,434718,416839,17879
2022,4,3110810,1546673,1711314,-164641
2022,4,3110809,445227,395527,49700
2022,4,3110807,503903,458471,45432
2022,4,3110805,319584,345055,-25471
2022,4,3110804,880271,876797,3474
2022,4,3110803,1284837,1372767,-87930
2022,4,3110802,585982,586368,-386
2022,4,3110800,143057,147572,-4515
2022,4,3110799,173562,168618,4944
2022,4,3110798,130746,138172,-7426
2022,4,3110796,91809,89034,2775
2022,4,3110795,1089302,1151815,-62513
2022,4,3110794,994059,789787,204272
2022,4,3110792,2017012,2291397,-274385
2022,4,3110791,122128,75873,46255
2022,4,3110790,701176,756698,-55522
2022,4,3110789,529386,582641,-53255
2022,4,3110788,87422,80331,7091
2022,4,3110787,1307432,1264275,43157
2022,4,3110786,415904,408121,7783
2022,4,3110785,1115713,1118269,-2556
2022,4,3110784,192761,186839,5922
2022,4,3110783,265830,221431,44399
2022,4,3110782,192585,186056,6529
2022,4,3110781,1334180,1348469,-14289
2022,4,3110780,348164,318168,29996
2022,4,3110778,1288226,1289353,-1127
2022,4,3110777,291533,258261,33272
2022,4,3110776,812381,831175,-18794
2022,4,3110775,286110,271605,14505
2022,4,3110774,460275,468164,-7889
2022,4,3110772,312591,335575,-22984
2022,4,3110771,417394,351953,65441
2022,4,3110770,665109,703222,-38113
2022,4,3110769,599795,479226,120569
2022,4,3110768,255144,204840,50304
2022,4,3110767,227439,261160,-33721
2022,4,3110766,1259518,1222639,36879
2022,4,3110765,347400,321389,26011
2022,4,3110762,1751218,1814086,-62868
2022,4,3110760,813759,759039,54720
2022,4,3110758,340123,366816,-26693
2022,4,3110757,205456,210034,-4578
2022,4,3110756,210941,224088,-13147
2022,4,3110755,253234,260980,-7746
2022,4,3110754,1486602,1453144,33458
2022,4,3110753,908217,1062992,-154775
2022,4,3110752,767508,800046,-32538
2022,4,3110751,1028298,1045762,-17464
2022,4,3110750,777379,797526,-20147
2022,4,3110749,577054,603683,-26629
2022,4,3110748,385414,382160,3254
2022,4,3110747,162025,205487,-43462
2022,4,3110746,196261,233751,-37490
2022,4,3110745,410328,489332,-79004
2022,4,3110744,1604590,1737412,-132822
2022,4,3110743,813997,990525,-176528
2022,4,3110742,73183,67314,5869
2022,4,3110741,558853,666616,-107763
2022,4,3110740,1616602,1579707,36895
2022,4,3110739,28299,26940,1359
2022,4,3110738,802216,896535,-94319
2022,4,3110737,1374786,1533147,-158361
2022,4,3110736,825078,751539,73539
2022,4,3110735,1058896,1129192,-70296
2022,4,3110734,36760,19200,17560
2022,4,3110733,278555,245116,33439
2022,4,3110732,438017,394039,43978
2022,4,3110731,387304,429118,-41814
2022,4,3110730,565606,505568,60038
2022,4,3110729,632528,591306,41222
2022,4,3110728,186798,185904,894
2022,4,3110727,387224,331511,55713
2022,4,3110726,419449,244717,174732
2022,4,3110725,189610,212147,-22537
2022,4,3110724,595551,613215,-17664
2022,4,3110723,314760,297162,17598
2022,4,3110722,336937,340129,-3192
2022,4,3110721,1150143,1128975,21168
2022,4,3110720,994201,1013050,-18849
2022,4,3110719,325691,262309,63382
2022,4,3110718,932089,976875,-44786
2022,4,3110717,2986653,3064509,-77856
2022,4,3110716,402258,406583,-4325
2022,4,3110715,322324,289416,32908
2022,4,3110714,1488565,1496132,-7567
2022,4,3110713,2812716,2789914,22802
2022,4,3110712,2157042,2137825,19217
2022,4,3110711,1320590,1298913,21677
2022,4,3110710,2403459,2359430,44029
2022,4,3110709,1228414,1294926,-66512
2022,4,3110708,385262,322704,62558
2022,4,3110707,1081956,1139344,-57388
2022,4,3110706,273922,266704,7218
2022,4,3110703,686331,602828,83503
2022,4,3110702,832611,873772,-41161
2022,4,3110701,679474,714054,-34580
2022,4,3110700,954307,1024715,-70408
2022,4,3110699,497743,511232,-13489
2022,4,3110698,682035,718595,-36560
2022,4,3110697,483948,611885,-127937
2022,4,3110696,595405,660658,-65253
2022,4,3110695,1586233,1598183,-11950
2022,4,3110694,1885279,1871628,13651
2022,4,3110693,111380,91740,19640
2022,4,3110692,870253,1051688,-181435
2022,4,3110691,698070,722304,-24234
2022,4,3110690,1925372,1947073,-21701
2022,4,3110689,716872,674363,42509
2022,4,3110688,897910,949050,-51140
2022,4,3110687,57482,179731,-122249
2022,4,3110686,1007646,749527,258119
2022,4,3110684,65080,46266,18814
2022,4,3110683,264146,278520,-14374
2022,4,3110681,28212,32486,-4274
2022,4,3110680,214876,244196,-29320
2022,4,3110679,228770,253701,-24931
2022,4,3110678,208503,168673,39830
2022,4,3110677,202015,184301,17714
2022,4,3110676,440091,472817,-32726
2022,4,3110675,1642030,1747483,-105453
2022,4,3110673,700539,609635,90904
2022,4,3110672,740742,697839,42903
2022,4,3110671,2019774,2165529,-145755
2022,4,3110670,1498675,1583226,-84551
2022,4,3110668,1504141,1782314,-278173
2022,4,3110666,232287,193747,38540
2022,4,3110665,1963469,1101844,861625
2022,4,3110664,253123,232633,20490
2022,4,3110663,264013,262924,1089
2022,4,3110662,2336344,2673298,-336954
2022,4,3110661,321962,288527,33435
2022,4,3110660,733448,679992,53456
2022,4,3110659,4765714,5031947,-266233
2022,4,3110658,724125,899910,-175785
2022,4,3110657,615474,675157,-59683
2022,4,3110656,6375645,5826746,548899
2022,4,3110655,340482,375644,-35162
2022,4,3110654,2354764,2397872,-43108
2022,4,3110653,952689,946739,5950
2022,4,3110652,319614,296504,23110
2022,4,3110651,501215,533767,-32552
2022,4,3110650,70184,81172,-10988
2022,4,3110649,986095,1000753,-14658
2022,4,3110647,2483780,2484490,-710
2022,4,3110646,1842419,1800069,42350
2022,4,3110645,1300472,1353910,-53438
2022,4,3110644,92522,97550,-5028
2022,4,3110643,547492,781069,-233577
2022,4,3110641,268487,214950,53537
2022,4,3110640,595356,592831,2525
2022,4,3110639,657360,397902,259458
2022,4,3110638,2201678,2239830,-38152
2022,4,3110637,189994,200833,-10839
2022,4,3110636,617076,658115,-41039
2022,4,3110635,224438,282600,-58162
2022,4,3110634,2050353,1987208,63145
2022,4,3110633,48996,55834,-6838
2022,4,3110632,652962,716099,-63137
2022,4,3110631,603214,587816,15398
2022,4,3110630,1717800,1750123,-32323
2022,4,3110629,142810,163156,-20346
2022,4,3110628,296435,275826,20609
2022,4,3110627,1421805,1274701,147104
2022,4,3110626,1471624,1466296,5328
2022,4,3110625,867371,585926,281445
2022,4,3110624,528896,501707,27189
2022,4,3110622,522093,486430,35663
2022,4,3110621,175874,263229,-87355
2022,4,3110620,2055258,2283278,-228020
2022,4,3110619,368625,330574,38051
2022,4,3110618,1673105,1558254,114851
2022,4,3110617,453505,558050,-104545
2022,4,3110616,266699,242288,24411
2022,4,3110615,267779,213927,53852
2022,4,3110614,375060,519334,-144274
2022,4,3110613,213975,269272,-55297
2022,4,3110612,2043477,2183840,-140363
2022,4,3110611,1214967,1171650,43317
2022,4,3110609,864778,980161,-115383
2022,4,3110608,1384521,1593343,-208822
2022,4,3110607,172905,161007,11898
2022,4,3110606,1397635,1446911,-49276
2022,4,3110605,46902,43447,3455
2022,4,3110604,981891,1140834,-158943
2022,4,3110603,89789,87390,2399
2022,4,3110602,190162,189293,869
2022,4,3110601,1438787,1402469,36318
2022,4,3110600,447616,562895,-115279
2022,4,3110599,897114,1114908,-217794
2022,4,3110598,569552,557059,12493
2022,4,3110597,1115570,1211948,-96378
2022,4,3110596,627671,621849,5822
2022,4,3110595,587466,556857,30609
2022,4,3110594,354556,371110,-16554
2022,4,3110593,995325,1143831,-148506
2022,4,3110592,240979,243174,-2195
2022,4,3110591,1197756,1493609,-295853
2022,4,3110590,1638799,1493486,145313
2022,4,3110589,133626,101007,32619
2022,4,3110588,1084008,1009994,74014
2022,4,3110587,663551,868564,-205013
2022,4,3110586,1773778,1809015,-35237
2022,4,3110585,118090,127533,-9443
2022,4,3110584,104139,104192,-53
2022,4,3110583,397980,390560,7420
2022,4,3110582,509930,511010,-1080
2022,4,3110580,759609,747313,12296
2022,4,3110579,336721,304293,32428
2022,4,3110578,2599316,1254997,1344319
2022,4,3110577,578249,613242,-34993
2022,4,3110576,1274964,1197909,77055
2022,4,3110575,1096987,1041828,55159
2022,4,3110574,59099,51038,8061
2022,4,3110573,116229,94684,21545
2022,4,3110572,1920011,1829411,90600
2022,4,3110571,489033,509354,-20321
2022,4,3110570,175658,204799,-29141
2022,4,3110569,887443,942951,-55508
2022,4,3110568,279856,310571,-30715
2022,4,3110567,272944,278707,-5763
2022,4,3110566,1611756,1567453,44303
2022,4,3110565,456845,421510,35335
2022,4,3110564,869847,647301,222546
2022,4,3110563,175346,200420,-25074
2022,4,3110562,942349,932097,10252
2022,4,3110561,774999,742306,32693
2022,4,3110560,1045707,1134041,-88334
2022,4,3110559,893007,893765,-758
2022,4,3110558,2725317,2447611,277706
2022,4,3110557,834232,918375,-84143
2022,4,3110555,201971,194341,7630
2022,4,3110554,974051,882994,91057
2022,4,3110553,994938,769881,225057
2022,4,3110552,764306,788317,-24011
2022,4,3110551,1404084,1419328,-15244
2022,4,3110550,1754809,1729893,24916
2022,4,3110549,972075,1239476,-267401
2022,4,3110548,1204419,1125893,78526
2022,4,3110547,806641,823792,-17151
2022,4,3110546,733635,766607,-32972
2022,4,3110545,566761,582996,-16235
2022,4,3110544,4938281,5126903,-188622
2022,4,3110543,136783,87921,48862
2022,4,3110542,1404563,1568788,-164225
2022,4,3110541,1098592,1359142,-260550
2022,4,3110540,580865,559754,21111
2022,4,3110539,279045,274424,4621
2022,4,3110538,359732,380774,-21042
2022,4,3110537,466860,438003,28857
2022,4,3110536,114780,104733,10047
2022,4,3110535,1112507,1094587,17920
2022,4,3110534,591684,641858,-50174
2022,4,3110533,4825564,4441785,383779
2022,4,3110532,1094635,1050872,43763
2022,4,3110529,1102457,1008786,93671
2022,4,3110528,896537,950561,-54024
2022,4,3110527,512480,498355,14125
2022,4,3110526,150388,132204,18184
2022,4,3110525,333517,342335,-8818
2022,4,3110524,161778,129839,31939
2022,4,3110523,76167,106446,-30279
2022,4,3110522,235783,209341,26442
2022,4,3110521,628299,668000,-39701
2022,4,3110520,615198,507241,107957
2022,4,3110519,1245726,1115343,130383
2022,4,3110517,184536,168997,15539
2022,4,3110515,487999,372600,115399
2022,4,3110514,773776,670598,103178
2022,4,3110513,197606,351553,-153947
2022,4,3110512,492026,515916,-23890
2022,4,3110511,953274,877387,75887
2022,4,3110510,900592,994831,-94239
2022,4,3110509,884422,914307,-29885
2022,4,3110508,531255,512726,18529
2022,4,3110507,1790735,1484525,306210
2022,4,3110506,248463,247512,951
2022,4,3110505,52768,64709,-11941
2022,4,3110503,2060779,1758088,302691
2022,4,3110502,1388242,1670468,-282226
2022,4,3110501,187585,259776,-72191
2022,4,3110500,26356,232932,-206576
2022,4,3110499,2321963,2396846,-74883
2022,4,3110498,1881910,1740526,141384
2022,4,3110496,914196,1040977,-126781
2022,4,3110495,1011939,1317066,-305127
2022,4,3110493,327100,425577,-98477
2022,4,3110491,78150,72803,5347
2022,4,3110490,576971,632219,-55248
2022,4,3110489,428147,481192,-53045
2022,4,3110488,426659,524320,-97661
2022,4,3110487,156352,129007,27345
2022,4,3110486,605312,559190,46122
2022,4,3110485,489899,586891,-96992
2022,4,3110484,1640756,1729526,-88770
2022,4,3110483,670876,665717,5159
2022,4,3110482,345514,303774,41740
2022,4,3110481,2785941,2103542,682399
2022,4,3110480,407225,408320,-1095
2022,4,3110479,1083564,1175605,-92041
2022,4,3110478,326283,533353,-207070
2022,4,3110477,361070,364972,-3902
2022,4,3110476,145048,136642,8406
2022,4,3110475,665283,710401,-45118
2022,4,3110474,982214,1084581,-102367
2022,4,3110473,1782251,1796151,-13900
2022,4,3110472,1043509,1150732,-107223
2022,4,3110471,1510535,1581827,-71292
2022,4,3110470,621374,643622,-22248
2022,4,3110469,1708527,1619088,89439
2022,4,3110468,3317738,3257986,59752
2022,4,3110467,645905,966114,-320209
2022,4,3110466,970536,1041119,-70583
2022,4,3110465,1609098,1358700,250398
2022,4,3110464,495447,499463,-4016
2022,4,3110463,641822,565960,75862
2022,4,3110462,768938,1085905,-316967
2022,4,3110461,233632,229144,4488
2022,4,3110460,1627462,1669234,-41772
2022,4,3110459,945719,942070,3649
2022,4,3110458,949468,1210712,-261244
2022,4,3110457,807189,779262,27927
2022,4,3110456,1594227,1566848,27379
2022,4,3110455,1576217,1673233,-97016
2022,4,3110454,1287661,1345366,-57705
2022,4,3110453,1797521,1881200,-83679
2022,4,3110452,716495,941389,-224894
2022,4,3110451,1114295,1415372,-301077
2022,4,3110450,1708207,1915805,-207598
2022,4,3110449,943686,992141,-48455
2022,4,3110448,440147,647049,-206902
2022,4,3110447,489907,525234,-35327
2022,4,3110446,181113,325704,-144591
2022,4,3110444,257286,111984,145302
2022,4,3110443,82305,101281,-18976
2022,4,3110442,154172,168724,-14552
2022,4,3110441,657983,670226,-12243
2022,4,3110440,343706,403360,-59654
2022,4,3110439,1118306,1146917,-28611
2022,4,3110438,1496918,1609012,-112094
2022,4,3110437,1476297,1505809,-29512
2022,4,3110436,500773,534018,-33245
2022,4,3110435,108238,103254,4984
2022,4,3110434,485495,484080,1415
2022,4,3110433,1362310,1435920,-73610
2022,4,3110432,403762,378378,25384
2022,4,3110431,503550,473564,29986
2022,4,3110429,2069558,1976129,93429
2022,4,3110428,3768178,4143995,-375817
2022,4,3110427,105397,103755,1642
2022,4,3110426,1714722,1774596,-59874
2022,4,3110425,658018,663377,-5359
2022,4,3110424,2450783,2785956,-335173
2022,4,3110423,308103,314825,-6722
2022,4,3110422,900844,907534,-6690
2022,4,3110421,354397,360521,-6124
2022,4,3110420,523156,645863,-122707
2022,4,3110419,902999,862980,40019
2022,4,3110418,834660,793076,41584
2022,4,3110417,416225,451501,-35276
2022,4,3110416,937779,940634,-2855
2022,4,3110415,1969712,2067809,-98097
2022,4,3110413,102975,115598,-12623
2022,4,3110412,155391,177722,-22331
2022,4,3110411,499451,532979,-33528
2022,4,3110410,709311,746049,-36738
2022,4,3110409,628872,709004,-80132
2022,4,3110408,394547,422559,-28012
2022,4,3110407,987108,895321,91787
2022,4,3110406,176621,216070,-39449
2022,4,3110405,1478403,1471613,6790
2022,4,3110404,3373535,3422064,-48529
2022,4,3110403,1294314,1785555,-491241
2022,4,3110402,727035,739273,-12238
2022,4,3110401,154516,211332,-56816
2022,4,3110400,1327810,1308096,19714
2022,4,3110399,1796311,1884871,-88560
2022,4,3110398,875812,868088,7724
2022,4,3110397,1685382,1760924,-75542
2022,4,3110396,927237,1059341,-132104
2022,4,3110395,307713,291389,16324
2022,4,3110394,1235091,1107679,127412
2022,4,3110393,40720,64096,-23376
2022,4,3110392,113918,154594,-40676
2022,4,3110391,530335,425758,104577
2022,4,3110390,583802,521937,61865
2022,4,3110389,412033,392421,19612
2022,4,3110388,805373,680163,125210
2022,4,3110387,1665625,1714939,-49314
2022,4,3110383,71097,114214,-43117
2022,4,3110382,603959,618401,-14442
2022,4,3110381,421775,424410,-2635
2022,4,3110380,676984,722895,-45911
2022,4,3110379,156331,156285,46
2022,4,3110378,771927,833974,-62047
2022,4,3110377,794858,694609,100249
2022,4,3110376,3064705,3309791,-245086
2022,4,3110375,645495,658778,-13283
2022,4,3110374,2572427,2591973,-19546
2022,4,3110373,1222075,1266739,-44664
2022,4,3110372,1640927,1774472,-133545
2022,4,3110371,719362,730176,-10814
2022,4,3110370,1335864,1321254,14610
2022,4,3110369,1340104,1152455,187649
2022,4,3110368,2867682,2723509,144173
2022,4,3110367,1514431,1431257,83174
2022,4,3110366,626987,626688,299
2022,4,3110365,1820408,1710501,109907
2022,4,3110364,1556977,1443783,113194
2022,4,3110363,264545,303643,-39098
2022,4,3110362,884424,890255,-5831
2022,4,3110361,891397,937817,-46420
2022,4,3110360,1188780,1301117,-112337
2022,4,3110359,1017850,1015941,1909
2022,4,3110358,957049,977190,-20141
2022,4,3110357,1027502,1076643,-49141
2022,4,3110356,1034657,1155770,-121113
2022,4,3110355,1360405,1325345,35060
2022,4,3110354,85418,83794,1624
2022,4,3110353,775216,816727,-41511
2022,4,3110352,1657522,1653650,3872
2022,4,3110351,643498,808090,-164592
2022,4,3110350,533670,539825,-6155
2022,4,3110349,638344,647303,-8959
2022,4,3110348,2179082,2198823,-19741
2022,4,3110346,739221,605227,133994
2022,4,3110345,700394,706582,-6188
2022,4,3110344,339280,357537,-18257
2022,4,3110343,896016,892619,3397
2022,4,3110342,991318,1013023,-21705
2022,4,3110341,227552,231470,-3918
2022,4,3110340,362136,306475,55661
2022,4,3110337,462128,480429,-18301
2022,4,3110336,376624,334885,41739
2022,4,3110335,1265034,1437829,-172795
2022,4,3110334,2253142,1724591,528551
2022,4,3110333,663599,778115,-114516
2022,4,3110332,285322,220549,64773
2022,4,3110331,1185952,1202024,-16072
2022,4,3110330,862329,936425,-74096
2022,4,3110329,559422,367426,191996
2022,4,3110328,1056971,1062365,-5394
2022,4,3110327,975497,916938,58559
2022,4,3110326,459607,522162,-62555
2022,4,3110325,1049655,1060133,-10478
2022,4,3110323,1548969,1562920,-13951
2022,4,3110322,753066,815333,-62267
2022,4,3110320,193077,193670,-593
2022,4,3110319,1169653,1156659,12994
2022,4,3110318,1200305,1052325,147980
2022,4,3110317,780069,662949,117120
2022,4,3110316,2989901,2920913,68988
2022,4,3110315,1630055,1633806,-3751
2022,4,3110314,758909,745701,13208
2022,4,3110313,1778888,1352871,426017
2022,4,3110312,537566,548163,-10597
2022,4,3110310,39136,31572,7564
2022,4,3110309,390715,375197,15518
2022,4,3110308,1094507,761377,333130
2022,4,3110307,719975,676953,43022
2022,4,3110306,176591,91882,84709
2022,4,3110305,2018732,1898936,119796
2022,4,3110304,1049431,866106,183325
2022,4,3110303,1420820,1378615,42205
2022,4,3110302,284560,250405,34155
2022,4,3110301,1622574,1594589,27985
2022,4,3110300,2861900,3000306,-138406
2022,4,3110299,1894402,1898634,-4232
2022,4,3110298,326563,333649,-7086
2022,4,3110297,2431987,1995978,436009
2022,4,3110296,948400,983968,-35568
2022,4,3110295,929627,925523,4104
2022,4,3110294,1549453,1598052,-48599
2022,4,3110293,1479167,1467075,12092
2022,4,3110292,312024,318463,-6439
2022,4,3110291,2162509,2235820,-73311
2022,4,3110290,202473,209063,-6590
2022,4,3110289,1425253,1439279,-14026
2022,4,3110288,281943,328678,-46735
2022,4,3110287,246687,221357,25330
2022,4,3110286,738270,676833,61437
2022,4,3110285,146897,133688,13209
2022,4,3110284,83246,96847,-13601
2022,4,3110283,147787,160998,-13211
2022,4,3110282,42483,38269,4214
