year_code,quarter_code,commercial_district_code,total_facilities_now,total_facilities_previous,facilities_diff
2023,2,3110931,1.0,1.0,0.0
2023,3,3110931,1.0,1.0,0.0
2023,1,3110932,7.0,7.0,0.0
2023,2,3110932,7.0,7.0,0.0
2023,3,3110932,7.0,7.0,0.0
2023,1,3110934,21.0,21.0,0.0
2023,2,3110934,21.0,21.0,0.0
2023,3,3110934,21.0,21.0,0.0
2023,1,3110935,8.0,8.0,0.0
2023,2,3110935,8.0,8.0,0.0
2023,3,3110935,8.0,8.0,0.0
2023,1,3110992,7.0,7.0,0.0
2023,2,3110992,7.0,7.0,0.0
2023,3,3110992,7.0,7.0,0.0
2023,1,3110994,19.0,19.0,0.0
2023,2,3110994,19.0,19.0,0.0
2023,3,3110994,19.0,19.0,0.0
2023,1,3110995,9.0,9.0,0.0
2023,2,3110995,9.0,9.0,0.0
2023,3,3110995,9.0,9.0,0.0
2023,1,3110996,9.0,9.0,0.0
2023,2,3110996,9.0,9.0,0.0
2023,3,3110996,9.0,9.0,0.0
2023,1,3110835,9.0,9.0,0.0
2023,2,3110835,9.0,9.0,0.0
2023,3,3110835,9.0,9.0,0.0
2023,1,3110836,49.0,49.0,0.0
2023,2,3110836,49.0,49.0,0.0
2023,3,3110836,49.0,49.0,0.0
2023,1,3110915,2.0,2.0,0.0
2023,2,3110915,2.0,2.0,0.0
2023,3,3110915,2.0,2.0,0.0
2023,1,3111007,18.0,18.0,0.0
2023,2,3111007,18.0,18.0,0.0
2023,3,3111007,18.0,18.0,0.0
2023,1,3111008,15.0,15.0,0.0
2023,2,3111008,15.0,15.0,0.0
2023,3,3111008,15.0,15.0,0.0
2023,1,3110878,7.0,7.0,0.0
2023,2,3110878,7.0,7.0,0.0
2023,3,3110878,7.0,7.0,0.0
2023,1,3110879,15.0,15.0,0.0
2023,2,3110879,15.0,15.0,0.0
2023,3,3110879,15.0,15.0,0.0
2023,1,3110936,6.0,6.0,0.0
2023,2,3110936,6.0,6.0,0.0
2023,3,3110936,6.0,6.0,0.0
2023,1,3111043,3.0,3.0,0.0
2023,2,3111043,3.0,3.0,0.0
2023,3,3111043,3.0,3.0,0.0
2023,1,3111044,26.0,26.0,0.0
2023,2,3111044,26.0,26.0,0.0
2023,3,3111044,26.0,26.0,0.0
2023,1,3110885,30.0,30.0,0.0
2023,2,3110885,30.0,30.0,0.0
2023,3,3110885,30.0,30.0,0.0
2023,1,3110886,19.0,19.0,0.0
2023,2,3110886,19.0,19.0,0.0
2023,3,3110886,19.0,19.0,0.0
2023,1,3110887,15.0,15.0,0.0
2023,2,3110887,15.0,15.0,0.0
2023,3,3110887,15.0,15.0,0.0
2023,1,3111009,2.0,2.0,0.0
2023,2,3111009,2.0,2.0,0.0
2023,3,3111009,2.0,2.0,0.0
2023,1,3111010,13.0,13.0,0.0
2023,2,3111010,13.0,13.0,0.0
2023,3,3111010,13.0,13.0,0.0
2023,1,3111011,28.0,28.0,0.0
2023,2,3111011,28.0,28.0,0.0
2023,3,3111011,28.0,28.0,0.0
2023,1,3111012,24.0,24.0,0.0
2023,2,3111012,24.0,24.0,0.0
2023,3,3111012,24.0,24.0,0.0
2023,1,3111013,15.0,15.0,0.0
2023,3,3110020,25.0,25.0,0.0
2023,2,3111013,15.0,15.0,0.0
2023,3,3111013,15.0,15.0,0.0
2023,1,3111045,1.0,1.0,0.0
2023,2,3111045,1.0,1.0,0.0
2023,3,3111045,1.0,1.0,0.0
2023,1,3111046,63.0,63.0,0.0
2023,2,3111046,63.0,63.0,0.0
2023,3,3111046,63.0,63.0,0.0
2023,1,3111047,17.0,17.0,0.0
2023,2,3111047,17.0,17.0,0.0
2023,3,3111047,17.0,17.0,0.0
2023,1,3110826,23.0,23.0,0.0
2023,2,3110826,23.0,23.0,0.0
2023,3,3110826,23.0,23.0,0.0
2023,1,3110827,17.0,17.0,0.0
2023,2,3110827,17.0,17.0,0.0
2023,3,3110827,17.0,17.0,0.0
2023,1,3110828,32.0,32.0,0.0
2023,2,3110828,32.0,32.0,0.0
2023,3,3110828,32.0,32.0,0.0
2023,1,3110852,10.0,10.0,0.0
2023,2,3110852,10.0,10.0,0.0
2023,3,3110852,10.0,10.0,0.0
2023,1,3110853,4.0,4.0,0.0
2023,2,3110853,4.0,4.0,0.0
2023,3,3110853,4.0,4.0,0.0
2023,1,3110854,7.0,7.0,0.0
2023,2,3110854,7.0,7.0,0.0
2023,3,3110854,7.0,7.0,0.0
2023,1,3110855,48.0,48.0,0.0
2023,2,3110855,48.0,48.0,0.0
2023,3,3110855,48.0,48.0,0.0
2023,1,3110949,3.0,3.0,0.0
2023,2,3110949,3.0,3.0,0.0
2023,3,3110949,3.0,3.0,0.0
2023,1,3110951,3.0,3.0,0.0
2023,2,3110951,3.0,3.0,0.0
2023,3,3110951,3.0,3.0,0.0
2023,1,3110952,2.0,2.0,0.0
2023,2,3110952,2.0,2.0,0.0
2023,3,3110952,2.0,2.0,0.0
2023,1,3110953,1.0,1.0,0.0
2023,2,3110953,1.0,1.0,0.0
2023,3,3110953,1.0,1.0,0.0
2023,1,3110954,1.0,1.0,0.0
2023,2,3110954,1.0,1.0,0.0
2023,3,3110954,1.0,1.0,0.0
2023,1,3110955,12.0,12.0,0.0
2023,2,3110955,12.0,12.0,0.0
2023,3,3110955,12.0,12.0,0.0
2023,1,3110956,3.0,3.0,0.0
2023,2,3110956,3.0,3.0,0.0
2023,3,3110956,3.0,3.0,0.0
2023,1,3111049,10.0,10.0,0.0
2023,2,3111049,10.0,10.0,0.0
2023,3,3111049,10.0,10.0,0.0
2023,1,3110863,24.0,24.0,0.0
2023,2,3110863,24.0,24.0,0.0
2023,3,3110863,24.0,24.0,0.0
2023,1,3111021,32.0,32.0,0.0
2023,2,3111021,32.0,32.0,0.0
2023,3,3111021,32.0,32.0,0.0
2023,1,3111022,5.0,5.0,0.0
2023,2,3111022,5.0,5.0,0.0
2023,3,3111022,5.0,5.0,0.0
2023,1,3111023,13.0,13.0,0.0
2023,2,3111023,13.0,13.0,0.0
2023,3,3111023,13.0,13.0,0.0
2023,1,3110904,10.0,10.0,0.0
2023,2,3110904,10.0,10.0,0.0
2023,3,3110904,10.0,10.0,0.0
2023,1,3110905,5.0,5.0,0.0
2023,2,3110905,5.0,5.0,0.0
2023,3,3110905,5.0,5.0,0.0
2023,1,3110906,10.0,10.0,0.0
2023,2,3110906,10.0,10.0,0.0
2023,3,3110001,20.0,20.0,0.0
2023,3,3110906,10.0,10.0,0.0
2023,1,3110907,11.0,11.0,0.0
2023,2,3110907,11.0,11.0,0.0
2023,3,3110907,11.0,11.0,0.0
2023,1,3110908,10.0,10.0,0.0
2023,2,3110908,10.0,10.0,0.0
2023,3,3110908,10.0,10.0,0.0
2023,1,3111033,9.0,9.0,0.0
2023,2,3111033,9.0,9.0,0.0
2023,3,3111033,9.0,9.0,0.0
2023,1,3111034,17.0,17.0,0.0
2023,2,3111034,17.0,17.0,0.0
2023,3,3111034,17.0,17.0,0.0
2023,1,3110864,5.0,5.0,0.0
2023,2,3110864,5.0,5.0,0.0
2023,3,3110864,5.0,5.0,0.0
2023,1,3110865,63.0,63.0,0.0
2023,2,3110865,63.0,63.0,0.0
2023,3,3110865,63.0,63.0,0.0
2023,1,3110916,10.0,10.0,0.0
2023,2,3110916,10.0,10.0,0.0
2023,3,3110916,10.0,10.0,0.0
2023,1,3110939,33.0,33.0,0.0
2023,2,3110939,33.0,33.0,0.0
2023,3,3110939,33.0,33.0,0.0
2023,1,3110940,2.0,2.0,0.0
2023,2,3110940,2.0,2.0,0.0
2023,3,3110940,2.0,2.0,0.0
2023,1,3111024,3.0,3.0,0.0
2023,2,3111024,3.0,3.0,0.0
2023,3,3111024,3.0,3.0,0.0
2023,1,3110997,61.0,61.0,0.0
2023,2,3110997,61.0,61.0,0.0
2023,3,3110997,61.0,61.0,0.0
2023,1,3110999,21.0,21.0,0.0
2023,2,3110999,21.0,21.0,0.0
2023,3,3110999,21.0,21.0,0.0
2023,1,3111001,17.0,17.0,0.0
2023,2,3111001,17.0,17.0,0.0
2023,3,3111001,17.0,17.0,0.0
2023,1,3110837,40.0,40.0,0.0
2023,2,3110837,40.0,40.0,0.0
2023,3,3110837,40.0,40.0,0.0
2023,1,3110838,10.0,10.0,0.0
2023,2,3110838,10.0,10.0,0.0
2023,3,3110838,10.0,10.0,0.0
2023,1,3110839,10.0,10.0,0.0
2023,2,3110839,10.0,10.0,0.0
2023,3,3110839,10.0,10.0,0.0
2023,1,3110888,13.0,13.0,0.0
2023,2,3110888,13.0,13.0,0.0
2023,3,3110888,13.0,13.0,0.0
2023,1,3110917,6.0,6.0,0.0
2023,3,3110917,6.0,6.0,0.0
2023,1,3110918,2.0,2.0,0.0
2023,2,3110918,2.0,2.0,0.0
2023,3,3110918,2.0,2.0,0.0
2023,1,3110919,1.0,1.0,0.0
2023,2,3110919,1.0,1.0,0.0
2023,3,3110919,1.0,1.0,0.0
2023,1,3110874,20.0,20.0,0.0
2023,2,3110874,20.0,20.0,0.0
2023,3,3110874,20.0,20.0,0.0
2023,1,3110875,12.0,12.0,0.0
2023,2,3110875,12.0,12.0,0.0
2023,3,3110875,12.0,12.0,0.0
2023,1,3110876,10.0,10.0,0.0
2023,2,3110876,10.0,10.0,0.0
2023,3,3110876,10.0,10.0,0.0
2023,1,3111089,30.0,30.0,0.0
2023,2,3111089,30.0,30.0,0.0
2023,3,3111089,30.0,30.0,0.0
2023,1,3111061,18.0,18.0,0.0
2023,2,3111061,18.0,18.0,0.0
2023,3,3111061,18.0,18.0,0.0
2023,1,3111062,14.0,14.0,0.0
2023,2,3111062,14.0,14.0,0.0
2023,3,3111062,14.0,14.0,0.0
2023,1,3110889,2.0,2.0,0.0
2023,2,3110889,2.0,2.0,0.0
2023,3,3110889,2.0,2.0,0.0
2023,1,3110890,15.0,15.0,0.0
2023,2,3110890,15.0,15.0,0.0
2023,3,3110890,15.0,15.0,0.0
2023,1,3110891,9.0,9.0,0.0
2023,2,3110891,9.0,9.0,0.0
2023,3,3110891,9.0,9.0,0.0
2023,1,3110957,11.0,11.0,0.0
2023,2,3110957,11.0,11.0,0.0
2023,3,3110957,11.0,11.0,0.0
2023,1,3110958,7.0,7.0,0.0
2023,2,3110958,7.0,7.0,0.0
2023,3,3110958,7.0,7.0,0.0
2023,1,3110959,3.0,3.0,0.0
2023,2,3110959,3.0,3.0,0.0
2023,3,3110959,3.0,3.0,0.0
2023,1,3111014,4.0,4.0,0.0
2023,2,3111014,4.0,4.0,0.0
2023,3,3111014,4.0,4.0,0.0
2023,2,3111015,30.0,30.0,0.0
2023,3,3111015,30.0,30.0,0.0
2023,1,3111016,12.0,12.0,0.0
2023,2,3111016,12.0,12.0,0.0
2023,3,3111016,12.0,12.0,0.0
2023,1,3111038,8.0,8.0,0.0
2023,2,3111038,8.0,8.0,0.0
2023,3,3111038,8.0,8.0,0.0
2023,1,3111039,7.0,7.0,0.0
2023,2,3111039,7.0,7.0,0.0
2023,3,3111039,7.0,7.0,0.0
2023,1,3110843,17.0,17.0,0.0
2023,2,3110843,17.0,17.0,0.0
2023,3,3110843,17.0,17.0,0.0
2023,1,3111063,23.0,23.0,0.0
2023,2,3111063,23.0,23.0,0.0
2023,3,3111063,23.0,23.0,0.0
2023,1,3111064,4.0,4.0,0.0
2023,2,3111064,4.0,4.0,0.0
2023,3,3111064,4.0,4.0,0.0
2023,1,3111065,5.0,5.0,0.0
2023,2,3111065,5.0,5.0,0.0
2023,3,3111065,5.0,5.0,0.0
2023,3,3110961,1.0,1.0,0.0
2023,1,3111035,6.0,6.0,0.0
2023,2,3111035,6.0,6.0,0.0
2023,3,3111035,6.0,6.0,0.0
2023,1,3110821,19.0,19.0,0.0
2023,2,3110821,19.0,19.0,0.0
2023,3,3110821,19.0,19.0,0.0
2023,1,3110822,10.0,10.0,0.0
2023,2,3110822,10.0,10.0,0.0
2023,3,3110822,10.0,10.0,0.0
2023,1,3110866,16.0,16.0,0.0
2023,2,3110866,16.0,16.0,0.0
2023,3,3110866,16.0,16.0,0.0
2023,1,3110845,11.0,11.0,0.0
2023,2,3110845,11.0,11.0,0.0
2023,3,3110845,11.0,11.0,0.0
2023,1,3110846,44.0,44.0,0.0
2023,2,3110846,44.0,44.0,0.0
2023,3,3110846,44.0,44.0,0.0
2023,1,3110847,6.0,6.0,0.0
2023,2,3110847,6.0,6.0,0.0
2023,3,3110847,6.0,6.0,0.0
2023,1,3110895,35.0,35.0,0.0
2023,2,3110895,35.0,35.0,0.0
2023,3,3110895,35.0,35.0,0.0
2023,1,3111066,9.0,9.0,0.0
2023,2,3111066,9.0,9.0,0.0
2023,3,3111066,9.0,9.0,0.0
2023,1,3111067,18.0,18.0,0.0
2023,2,3111067,18.0,18.0,0.0
2023,3,3111067,18.0,18.0,0.0
2023,1,3111068,10.0,10.0,0.0
2023,2,3111068,10.0,10.0,0.0
2023,3,3111068,10.0,10.0,0.0
2023,1,3111069,15.0,15.0,0.0
2023,2,3111069,15.0,15.0,0.0
2023,3,3111069,15.0,15.0,0.0
2023,1,3111036,5.0,5.0,0.0
2023,2,3111036,5.0,5.0,0.0
2023,3,3111036,5.0,5.0,0.0
2023,1,3110840,26.0,26.0,0.0
2023,2,3110840,26.0,26.0,0.0
2023,3,3110840,26.0,26.0,0.0
2023,1,3110867,12.0,12.0,0.0
2023,2,3110867,12.0,12.0,0.0
2023,3,3110867,12.0,12.0,0.0
2023,1,3110868,8.0,8.0,0.0
2023,2,3110868,8.0,8.0,0.0
2023,3,3110868,8.0,8.0,0.0
2023,1,3110869,16.0,16.0,0.0
2023,2,3110869,16.0,16.0,0.0
2023,3,3110869,16.0,16.0,0.0
2023,1,3110896,18.0,18.0,0.0
2023,2,3110896,18.0,18.0,0.0
2023,3,3110896,18.0,18.0,0.0
2023,1,3110897,12.0,12.0,0.0
2023,2,3110897,12.0,12.0,0.0
2023,3,3110897,12.0,12.0,0.0
2023,1,3110974,1.0,1.0,0.0
2023,2,3110974,1.0,1.0,0.0
2023,3,3110974,1.0,1.0,0.0
2023,1,3110975,19.0,19.0,0.0
2023,2,3110975,19.0,19.0,0.0
2023,3,3110975,19.0,19.0,0.0
2023,1,3110976,2.0,2.0,0.0
2023,2,3110976,2.0,2.0,0.0
2023,3,3110976,2.0,2.0,0.0
2023,1,3111070,10.0,10.0,0.0
2023,2,3111070,10.0,10.0,0.0
2023,3,3111070,10.0,10.0,0.0
2023,1,3111071,3.0,3.0,0.0
2023,2,3111071,3.0,3.0,0.0
2023,3,3111071,3.0,3.0,0.0
2023,1,3111072,18.0,18.0,0.0
2023,2,3111072,18.0,18.0,0.0
2023,3,3111072,18.0,18.0,0.0
2023,1,3111073,29.0,29.0,0.0
2023,2,3111073,29.0,29.0,0.0
2023,3,3111073,29.0,29.0,0.0
2023,1,3110841,1.0,1.0,0.0
2023,2,3110841,1.0,1.0,0.0
2023,3,3110841,1.0,1.0,0.0
2023,1,3110842,16.0,16.0,0.0
2023,2,3110842,16.0,16.0,0.0
2023,3,3110842,16.0,16.0,0.0
2023,1,3110921,2.0,2.0,0.0
2023,2,3110921,2.0,2.0,0.0
2023,3,3110921,2.0,2.0,0.0
2023,1,3110922,4.0,4.0,0.0
2023,2,3110922,4.0,4.0,0.0
2023,3,3110922,4.0,4.0,0.0
2023,1,3110924,3.0,3.0,0.0
2023,2,3110924,3.0,3.0,0.0
2023,3,3110924,3.0,3.0,0.0
2023,1,3110925,2.0,2.0,0.0
2023,2,3110925,2.0,2.0,0.0
2023,3,3110925,2.0,2.0,0.0
2023,1,3110979,2.0,2.0,0.0
2023,2,3110979,2.0,2.0,0.0
2023,3,3110979,2.0,2.0,0.0
2023,1,3110980,2.0,2.0,0.0
2023,2,3110980,2.0,2.0,0.0
2023,3,3110980,2.0,2.0,0.0
2023,1,3110981,4.0,4.0,0.0
2023,2,3110981,4.0,4.0,0.0
2023,3,3110981,4.0,4.0,0.0
2023,1,3110982,1.0,1.0,0.0
2023,2,3110982,1.0,1.0,0.0
2023,3,3110982,1.0,1.0,0.0
2023,1,3111040,6.0,6.0,0.0
2023,2,3111040,6.0,6.0,0.0
2023,1,3110966,5.0,5.0,0.0
2023,2,3110966,5.0,5.0,0.0
2023,3,3110966,5.0,5.0,0.0
2023,1,3110967,5.0,5.0,0.0
2023,2,3110967,5.0,5.0,0.0
2023,3,3110967,5.0,5.0,0.0
2023,3,3110002,22.0,22.0,0.0
2023,3,3110003,29.0,29.0,0.0
2023,3,3110004,10.0,10.0,0.0
2023,2,3110035,21.0,21.0,0.0
2023,3,3110035,21.0,21.0,0.0
2023,1,3110012,13.0,13.0,0.0
2023,2,3110012,13.0,13.0,0.0
2023,3,3110012,13.0,13.0,0.0
2023,2,3110014,13.0,13.0,0.0
2023,3,3110014,13.0,13.0,0.0
2023,1,3110016,66.0,66.0,0.0
2023,2,3110016,66.0,66.0,0.0
2023,3,3110016,66.0,66.0,0.0
2023,1,3110005,22.0,22.0,0.0
2023,2,3110005,22.0,22.0,0.0
2023,3,3110005,22.0,22.0,0.0
2023,1,3110006,4.0,4.0,0.0
2023,1,3110010,56.0,56.0,0.0
2023,2,3110010,56.0,56.0,0.0
2023,1,3110017,10.0,10.0,0.0
2023,2,3110017,10.0,10.0,0.0
2023,1,3110018,22.0,22.0,0.0
2023,2,3110018,22.0,22.0,0.0
2023,1,3110020,25.0,25.0,0.0
2023,2,3110020,25.0,25.0,0.0
2023,1,3110001,20.0,20.0,0.0
2023,2,3110001,20.0,20.0,0.0
2023,1,3110002,22.0,22.0,0.0
2023,2,3110002,22.0,22.0,0.0
2023,1,3110003,29.0,29.0,0.0
2023,2,3110003,29.0,29.0,0.0
2023,1,3110004,10.0,10.0,0.0
2023,2,3110004,10.0,10.0,0.0
2023,1,3110189,6.0,6.0,0.0
2023,1,3110221,11.0,11.0,0.0
2023,3,3110269,18.0,18.0,0.0
2023,2,3110302,21.0,21.0,0.0
2023,1,3110356,10.0,10.0,0.0
2023,2,3110394,19.0,19.0,0.0
2023,1,3110539,12.0,12.0,0.0
2023,1,3110573,1.0,1.0,0.0
2023,1,3110578,26.0,26.0,0.0
2023,1,3110722,2.0,2.0,0.0
2023,2,3110757,10.0,10.0,0.0
2023,1,3110614,5.0,5.0,0.0
2023,2,3110656,67.0,67.0,0.0
2023,2,3110740,16.0,16.0,0.0
2023,2,3110812,13.0,13.0,0.0
2023,1,3110968,5.0,5.0,0.0
2023,1,3111015,30.0,30.0,0.0
2023,1,3110961,1.0,1.0,0.0
2023,3,3111040,6.0,6.0,0.0
2023,1,3111074,7.0,7.0,0.0
2023,2,3111074,7.0,7.0,0.0
2023,3,3111074,7.0,7.0,0.0
2023,1,3111075,8.0,8.0,0.0
2023,2,3111075,8.0,8.0,0.0
2023,3,3111075,8.0,8.0,0.0
2023,1,3111076,21.0,21.0,0.0
2023,2,3111076,21.0,21.0,0.0
2023,3,3111076,21.0,21.0,0.0
2023,1,3110892,51.0,51.0,0.0
2023,2,3110892,51.0,51.0,0.0
2023,3,3110892,51.0,51.0,0.0
2023,1,3110893,2.0,2.0,0.0
2023,2,3110893,2.0,2.0,0.0
2023,3,3110893,2.0,2.0,0.0
2023,1,3110009,6.0,6.0,0.0
2023,1,3110008,13.0,13.0,0.0
2023,2,3110008,13.0,13.0,0.0
