"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","아파트_단지_수","아파트_면적_66_제곱미터_미만_세대_수","아파트_면적_66_제곱미터_세대_수","아파트_면적_99_제곱미터_세대_수","아파트_면적_132_제곱미터_세대_수","아파트_면적_165_제곱미터_세대_수","아파트_가격_1_억_미만_세대_수","아파트_가격_1_억_세대_수","아파트_가격_2_억_세대_수","아파트_가격_3_억_세대_수","아파트_가격_4_억_세대_수","아파트_가격_5_억_세대_수","아파트_가격_6_억_이상_세대_수","아파트_평균_면적","아파트_평균_시가"
"20231","A","골목상권","3110047","다산성곽길","57","263","58","50","17","32","37","185","74","63","33","14","14","77","229870672"
"20232","A","골목상권","3110047","다산성곽길","57","263","58","50","17","32","37","185","74","63","33","14","14","77","229870672"
"20233","A","골목상권","3110047","다산성곽길","57","263","58","50","17","32","37","185","74","63","33","14","14","77","229870672"
"20231","A","골목상권","3110048","장충동주민센터","43","235","89","23","10","30","12","109","170","46","12","","38","74","379131179"
"20232","A","골목상권","3110048","장충동주민센터","43","235","89","23","10","30","12","109","170","46","12","","38","74","379131179"
"20233","A","골목상권","3110048","장충동주민센터","43","235","89","23","10","30","12","109","170","46","12","","38","74","379131179"
"20231","A","골목상권","3110049","장충단 고개","45","251","93","5","","21","5","139","155","46","3","1","21","63","270887710"
"20232","A","골목상권","3110049","장충단 고개","45","251","93","5","","21","5","139","155","46","3","1","21","63","270887710"
"20233","A","골목상권","3110049","장충단 고개","45","251","93","5","","21","5","139","155","46","3","1","21","63","270887710"
"20231","A","골목상권","3110053","청구역 1번","13","84","9","","","","13","55","24","","","1","","42","173909464"
"20232","A","골목상권","3110053","청구역 1번","13","84","9","","","","13","55","24","","","1","","42","173909464"
"20233","A","골목상권","3110053","청구역 1번","13","84","9","","","","13","55","24","","","1","","42","173909464"
"20231","A","골목상권","3110054","청구역 3번","21","137","64","2","1","","3","95","57","46","3","","","53","225355142"
"20232","A","골목상권","3110054","청구역 3번","21","137","64","2","1","","3","95","57","46","3","","","53","225355142"
"20233","A","골목상권","3110054","청구역 3번","21","137","64","2","1","","3","95","57","46","3","","","53","225355142"
"20231","A","골목상권","3110056","신당역 3번","36","266","76","1","","","15","154","148","15","","","11","51","215407962"
"20232","A","골목상권","3110056","신당역 3번","36","266","76","1","","","15","154","148","15","","","11","51","215407962"
"20233","A","골목상권","3110056","신당역 3번","36","266","76","1","","","15","154","148","15","","","11","51","215407962"
"20231","A","골목상권","3110079","후암동주민센터","237","1220","583","81","62","22","36","412","780","500","119","74","47","63","288530997"
"20232","A","골목상권","3110079","후암동주민센터","237","1220","583","81","62","22","36","412","780","500","119","74","47","63","288530997"
"20233","A","골목상권","3110079","후암동주민센터","237","1220","583","81","62","22","36","412","780","500","119","74","47","63","288530997"
"20231","A","골목상권","3110080","해방촌예술마을","134","683","58","10","1","","32","367","298","45","3","3","4","50","191889563"
"20232","A","골목상권","3110080","해방촌예술마을","134","683","58","10","1","","32","367","298","45","3","3","4","50","191889563"
"20233","A","골목상권","3110080","해방촌예술마을","134","683","58","10","1","","32","367","298","45","3","3","4","50","191889563"
"20231","A","골목상권","3110081","해방촌 남동측","68","370","48","4","2","1","9","177","190","36","10","1","2","49","227115188"
"20232","A","골목상권","3110081","해방촌 남동측","68","370","48","4","2","1","9","177","190","36","10","1","2","49","227115188"
"20233","A","골목상권","3110081","해방촌 남동측","68","370","48","4","2","1","9","177","190","36","10","1","2","49","227115188"
"20231","A","골목상권","3110050","약수역 7번","13","75","21","4","1","","9","46","41","5","","","","58","194157111"
"20232","A","골목상권","3110050","약수역 7번","13","75","21","4","1","","9","46","41","5","","","","58","194157111"
"20233","A","골목상권","3110050","약수역 7번","13","75","21","4","1","","9","46","41","5","","","","58","194157111"
"20231","A","골목상권","3110051","한양공고앞 교차로","10","34","50","","","","1","26","53","4","","","","61","223503864"
"20232","A","골목상권","3110051","한양공고앞 교차로","10","34","50","","","","1","26","53","4","","","","61","223503864"
"20233","A","골목상권","3110051","한양공고앞 교차로","10","34","50","","","","1","26","53","4","","","","61","223503864"
"20231","A","골목상권","3110052","장충초등학교","27","154","40","16","","3","3","97","71","28","10","1","3","63","238559003"
"20232","A","골목상권","3110052","장충초등학교","27","154","40","16","","3","3","97","71","28","10","1","3","63","238559003"
"20233","A","골목상권","3110052","장충초등학교","27","154","40","16","","3","3","97","71","28","10","1","3","63","238559003"
"20231","A","골목상권","3110060","효창공원앞역 6번","103","659","163","16","2","","23","192","338","249","27","10","1","52","271947796"
"20232","A","골목상권","3110060","효창공원앞역 6번","103","659","163","16","2","","23","192","338","249","27","10","1","52","271947796"
"20233","A","골목상권","3110060","효창공원앞역 6번","103","659","163","16","2","","23","192","338","249","27","10","1","52","271947796"
"20231","A","골목상권","3110061","효창동주민센터","81","458","203","27","13","1","13","205","314","129","23","9","9","57","251102041"
"20232","A","골목상권","3110061","효창동주민센터","81","458","203","27","13","1","13","205","314","129","23","9","9","57","251102041"
"20233","A","골목상권","3110061","효창동주민센터","81","458","203","27","13","1","13","205","314","129","23","9","9","57","251102041"
"20231","A","골목상권","3110062","한강로동땡땡거리(은행나무길)","14","65","12","","","","","","10","17","8","8","34","45","518169141"
"20232","A","골목상권","3110062","한강로동땡땡거리(은행나무길)","14","65","12","","","","","","10","17","8","8","34","45","518169141"
"20233","A","골목상권","3110062","한강로동땡땡거리(은행나무길)","14","65","12","","","","","","10","17","8","8","34","45","518169141"
"20231","A","골목상권","3110063","효창공원앞역 5번","55","428","34","5","","","","90","284","74","14","5","","38","254689254"
"20232","A","골목상권","3110063","효창공원앞역 5번","55","428","34","5","","","","90","284","74","14","5","","38","254689254"
"20233","A","골목상권","3110063","효창공원앞역 5번","55","428","34","5","","","","90","284","74","14","5","","38","254689254"
"20231","A","골목상권","3110064","효창공원앞역 2번","85","513","194","86","7","21","14","204","291","180","81","28","23","61","282933884"
"20232","A","골목상권","3110064","효창공원앞역 2번","85","513","194","86","7","21","14","204","291","180","81","28","23","61","282933884"
"20233","A","골목상권","3110064","효창공원앞역 2번","85","513","194","86","7","21","14","204","291","180","81","28","23","61","282933884"
"20231","A","골목상권","3110082","용산구청","13","64","34","2","7","3","2","8","11","23","43","12","11","72","431366166"
"20232","A","골목상권","3110082","용산구청","13","64","34","2","7","3","2","8","11","23","43","12","11","72","431366166"
"20233","A","골목상권","3110082","용산구청","13","64","34","2","7","3","2","8","11","23","43","12","11","72","431366166"
"20231","A","골목상권","3110083","서빙고역 1번","8","47","18","5","","","","16","17","18","19","","","60","328927500"
"20232","A","골목상권","3110083","서빙고역 1번","8","47","18","5","","","","16","17","18","19","","","60","328927500"
"20233","A","골목상권","3110083","서빙고역 1번","8","47","18","5","","","","16","17","18","19","","","60","328927500"
"20231","A","골목상권","3110084","경리단길북측","61","277","24","10","11","16","23","107","119","40","20","15","14","59","259974098"
"20232","A","골목상권","3110084","경리단길북측","61","277","24","10","11","16","23","107","119","40","20","15","14","59","259974098"
"20233","A","골목상권","3110084","경리단길북측","61","277","24","10","11","16","23","107","119","40","20","15","14","59","259974098"
"20231","A","골목상권","3110085","경리단길남측","77","224","123","87","34","34","15","71","145","116","45","22","88","84","383034324"
"20232","A","골목상권","3110085","경리단길남측","77","224","123","87","34","34","15","71","145","116","45","22","88","84","383034324"
"20233","A","골목상권","3110085","경리단길남측","77","224","123","87","34","34","15","71","145","116","45","22","88","84","383034324"
"20231","A","골목상권","3110086","이태원역 북측","25","46","25","16","37","54","","15","23","29","24","18","69","122","580437314"
"20232","A","골목상권","3110086","이태원역 북측","25","46","25","16","37","54","","15","23","29","24","18","69","122","580437314"
"20233","A","골목상권","3110086","이태원역 북측","25","46","25","16","37","54","","15","23","29","24","18","69","122","580437314"
"20231","A","골목상권","3110065","남정초등학교","2","19","","","","","","","18","1","","","","39","259943182"
"20232","A","골목상권","3110065","남정초등학교","2","19","","","","","","","18","1","","","","39","259943182"
"20233","A","골목상권","3110065","남정초등학교","2","19","","","","","","","18","1","","","","39","259943182"
"20231","A","골목상권","3110066","서울역 15번","71","358","23","1","","","27","213","75","29","35","3","","45","205505122"
"20232","A","골목상권","3110066","서울역 15번","71","358","23","1","","","27","213","75","29","35","3","","45","205505122"
"20233","A","골목상권","3110066","서울역 15번","71","358","23","1","","","27","213","75","29","35","3","","45","205505122"
"20231","A","골목상권","3110067","배문고등학교","227","1082","384","38","6","2","7","395","780","251","71","5","3","59","252741554"
"20232","A","골목상권","3110067","배문고등학교","227","1082","384","38","6","2","7","395","780","251","71","5","3","59","252741554"
"20233","A","골목상권","3110067","배문고등학교","227","1082","384","38","6","2","7","395","780","251","71","5","3","59","252741554"
"20231","A","골목상권","3110068","남영역 1번","47","326","71","14","13","","14","72","210","73","26","8","21","50","285527894"
"20232","A","골목상권","3110068","남영역 1번","47","326","71","14","13","","14","72","210","73","26","8","21","50","285527894"
"20233","A","골목상권","3110068","남영역 1번","47","326","71","14","13","","14","72","210","73","26","8","21","50","285527894"
"20231","A","골목상권","3110069","숙대입구","72","538","75","9","2","1","23","194","297","103","4","3","1","48","235634066"
"20232","A","골목상권","3110069","숙대입구","72","538","75","9","2","1","23","194","297","103","4","3","1","48","235634066"
"20233","A","골목상권","3110069","숙대입구","72","538","75","9","2","1","23","194","297","103","4","3","1","48","235634066"
"20231","A","골목상권","3110070","용산세무서","1","6","","","","","","","","2","","4","","49","498000000"
"20232","A","골목상권","3110070","용산세무서","1","6","","","","","","","","2","","4","","49","498000000"
"20233","A","골목상권","3110070","용산세무서","1","6","","","","","","","","2","","4","","49","498000000"
"20231","A","골목상권","3110071","한강미주맨션아파트","6","","12","6","15","36","","","","","","","69","183","946282407"
"20232","A","골목상권","3110071","한강미주맨션아파트","6","","12","6","15","36","","","","","","","69","183","946282407"
"20233","A","골목상권","3110071","한강미주맨션아파트","6","","12","6","15","36","","","","","","","69","183","946282407"
"20231","A","골목상권","3110073","삼각지역 3번","10","88","2","","","","","23","41","13","12","","1","31","284933254"
"20232","A","골목상권","3110073","삼각지역 3번","10","88","2","","","","","23","41","13","12","","1","31","284933254"
"20233","A","골목상권","3110073","삼각지역 3번","10","88","2","","","","","23","41","13","12","","1","31","284933254"
"20231","A","골목상권","3110074","서울역 12번","35","169","79","9","","2","1","38","57","62","70","22","9","59","378372222"
"20232","A","골목상권","3110074","서울역 12번","35","169","79","9","","2","1","38","57","62","70","22","9","59","378372222"
"20233","A","골목상권","3110074","서울역 12번","35","169","79","9","","2","1","38","57","62","70","22","9","59","378372222"
"20231","A","골목상권","3110075","숙대입구역 1번","47","225","104","3","6","","","19","94","108","84","30","3","60","364158489"
"20232","A","골목상권","3110075","숙대입구역 1번","47","225","104","3","6","","","19","94","108","84","30","3","60","364158489"
"20233","A","골목상권","3110075","숙대입구역 1번","47","225","104","3","6","","","19","94","108","84","30","3","60","364158489"
"20231","A","골목상권","3110077","삼광초등학교","16","46","58","8","","","","4","14","49","32","8","5","67","356734053"
"20232","A","골목상권","3110077","삼광초등학교","16","46","58","8","","","","4","14","49","32","8","5","67","356734053"
"20233","A","골목상권","3110077","삼광초등학교","16","46","58","8","","","","4","14","49","32","8","5","67","356734053"
"20231","A","골목상권","3110078","이촌동점보아파트","1","","","","","12","","","","","","","12","187","1145916667"
"20232","A","골목상권","3110078","이촌동점보아파트","1","","","","","12","","","","","","","12","187","1145916667"
"20232","A","골목상권","3110110","상왕십리역 6번","12","77","39","","","","5","41","54","16","","","","53","208434870"
"20233","A","골목상권","3110110","상왕십리역 6번","12","77","39","","","","5","41","54","16","","","","53","208434870"
"20231","A","골목상권","3110111","대현산장미원","68","477","","","","","208","269","","","","","","47","106772740"
"20232","A","골목상권","3110111","대현산장미원","68","477","","","","","208","269","","","","","","47","106772740"
"20233","A","골목상권","3110111","대현산장미원","68","477","","","","","208","269","","","","","","47","106772740"
"20231","A","골목상권","3110087","이태원엔틱가구거리","8","45","10","1","","","","9","9","25","9","","4","55","424754461"
"20231","A","골목상권","3110110","상왕십리역 6번","12","77","39","","","","5","41","54","16","","","","53","208434870"
"20232","A","골목상권","3110087","이태원엔틱가구거리","8","45","10","1","","","","9","9","25","9","","4","55","424754461"
"20233","A","골목상권","3110087","이태원엔틱가구거리","8","45","10","1","","","","9","9","25","9","","4","55","424754461"
"20231","A","골목상권","3110088","오산고등학교","41","120","153","20","23","4","","1","1","5","15","16","282","73","993307585"
"20232","A","골목상권","3110088","오산고등학교","41","120","153","20","23","4","","1","1","5","15","16","282","73","993307585"
"20233","A","골목상권","3110088","오산고등학교","41","120","153","20","23","4","","1","1","5","15","16","282","73","993307585"
"20231","A","골목상권","3110089","서빙고동주민센터","60","216","36","15","10","1","","1","6","4","6","32","229","56","831882597"
"20232","A","골목상권","3110089","서빙고동주민센터","60","216","36","15","10","1","","1","6","4","6","32","229","56","831882597"
"20233","A","골목상권","3110089","서빙고동주민센터","60","216","36","15","10","1","","1","6","4","6","32","229","56","831882597"
"20231","A","골목상권","3110090","한국폴리텍대학서울정수캠퍼스","27","60","38","23","33","81","","","","1","25","31","178","122","881376013"
"20232","A","골목상권","3110090","한국폴리텍대학서울정수캠퍼스","27","60","38","23","33","81","","","","1","25","31","178","122","881376013"
"20233","A","골목상권","3110090","한국폴리텍대학서울정수캠퍼스","27","60","38","23","33","81","","","","1","25","31","178","122","881376013"
"20231","A","골목상권","3110092","NH농협은행 보광동지점","21","110","38","2","","","","","","10","5","17","118","54","738181234"
"20232","A","골목상권","3110092","NH농협은행 보광동지점","21","110","38","2","","","","","","10","5","17","118","54","738181234"
"20233","A","골목상권","3110092","NH농협은행 보광동지점","21","110","38","2","","","","","","10","5","17","118","54","738181234"
"20231","A","골목상권","3110093","우사단길","92","240","199","58","53","28","","1","3","12","77","121","364","72","763593724"
"20232","A","골목상권","3110093","우사단길","92","240","199","58","53","28","","1","3","12","77","121","364","72","763593724"
"20233","A","골목상권","3110093","우사단길","92","240","199","58","53","28","","1","3","12","77","121","364","72","763593724"
"20231","A","골목상권","3110095","한강진역 3번","36","73","101","52","42","11","","3","24","31","38","41","142","99","651449215"
"20232","A","골목상권","3110095","한강진역 3번","36","73","101","52","42","11","","3","24","31","38","41","142","99","651449215"
"20233","A","골목상권","3110095","한강진역 3번","36","73","101","52","42","11","","3","24","31","38","41","142","99","651449215"
"20231","A","골목상권","3110096","한남힐사이드아파트","34","144","90","","","","1","27","83","91","28","4","","62","304964244"
"20232","A","골목상권","3110096","한남힐사이드아파트","34","144","90","","","","1","27","83","91","28","4","","62","304964244"
"20233","A","골목상권","3110096","한남힐사이드아파트","34","144","90","","","","1","27","83","91","28","4","","62","304964244"
"20231","A","골목상권","3110097","한남초등학교","3","24","1","2","","","","24","","3","","","","49","174833333"
"20232","A","골목상권","3110097","한남초등학교","3","24","1","2","","","","24","","3","","","","49","174833333"
"20233","A","골목상권","3110097","한남초등학교","3","24","1","2","","","","24","","3","","","","49","174833333"
"20231","A","골목상권","3110098","서울독일학교","6","26","4","","2","21","","11","12","5","2","1","22","94","889746086"
"20232","A","골목상권","3110098","서울독일학교","6","26","4","","2","21","","11","12","5","2","1","22","94","889746086"
"20233","A","골목상권","3110098","서울독일학교","6","26","4","","2","21","","11","12","5","2","1","22","94","889746086"
"20231","A","골목상권","3110099","유엔빌리지길","89","13","57","69","134","323","","3","4","6","11","15","557","171","1765885979"
"20232","A","골목상권","3110099","유엔빌리지길","89","13","57","69","134","323","","3","4","6","11","15","557","171","1765885979"
"20233","A","골목상권","3110099","유엔빌리지길","89","13","57","69","134","323","","3","4","6","11","15","557","171","1765885979"
