기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권배후지_코드,상권배후지_코드_명,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,아파트_평균_면적,아파트_평균_시가
20233,A,골목상권,3110032,수족관거리,5,50,0,0,0,0,26,12,12,0,0,0,0,20,116743333
20231,A,골목상권,3110033,창신역 4번,135,778,276,37,0,0,130,449,249,21,50,76,116,55,228024388
20232,A,골목상권,3110033,창신역 4번,135,778,276,37,0,0,130,449,249,21,50,76,116,55,228024388
20233,A,골목상권,3110033,창신역 4번,135,778,276,37,0,0,130,449,249,21,50,76,116,55,228024388
20231,A,골목상권,3110034,창신1동주민센터,10,83,12,6,0,0,34,20,22,1,0,8,16,43,247132091
20232,A,골목상권,3110034,창신1동주민센터,10,83,12,6,0,0,34,20,22,1,0,8,16,43,247132091
20233,A,골목상권,3110034,창신1동주민센터,10,83,12,6,0,0,34,20,22,1,0,8,16,43,247132091
20231,A,골목상권,3110057,황학코아루아파트,35,196,148,37,11,0,1,79,64,29,0,18,201,65,578660722
20232,A,골목상권,3110057,황학코아루아파트,35,196,148,37,11,0,1,79,64,29,0,18,201,65,578660722
20233,A,골목상권,3110057,황학코아루아파트,35,196,148,37,11,0,1,79,64,29,0,18,201,65,578660722
20231,A,골목상권,3110058,성심여자고등학교,176,1030,450,144,11,0,18,225,506,336,63,159,328,59,377188053
20232,A,골목상권,3110058,성심여자고등학교,176,1030,450,144,11,0,18,225,506,336,63,159,328,59,377188053
20233,A,골목상권,3110058,성심여자고등학교,176,1030,450,144,11,0,18,225,506,336,63,159,328,59,377188053
20231,A,골목상권,3110059,새남터성지,69,428,240,30,2,0,0,3,29,141,217,47,263,61,561228909
20232,A,골목상권,3110059,새남터성지,69,428,240,30,2,0,0,3,29,141,217,47,263,61,561228909
20233,A,골목상권,3110059,새남터성지,69,428,240,30,2,0,0,3,29,141,217,47,263,61,561228909
20231,A,골목상권,3110036,동묘앞역 3번,28,201,51,11,0,0,75,58,73,6,5,22,24,48,241866718
20232,A,골목상권,3110036,동묘앞역 3번,28,201,51,11,0,0,75,58,73,6,5,22,24,48,241866718
20233,A,골목상권,3110036,동묘앞역 3번,28,201,51,11,0,0,75,58,73,6,5,22,24,48,241866718
20231,A,골목상권,3110040,중구회현체육센터(정화예술대남산캠퍼스),21,85,44,15,23,27,3,64,47,15,4,6,55,87,416043800
20232,A,골목상권,3110040,중구회현체육센터(정화예술대남산캠퍼스),21,85,44,15,23,27,3,64,47,15,4,6,55,87,416043800
20233,A,골목상권,3110040,중구회현체육센터(정화예술대남산캠퍼스),21,85,44,15,23,27,3,64,47,15,4,6,55,87,416043800
20231,A,골목상권,3110041,남산케이블카,15,59,36,9,13,13,3,53,24,9,6,2,33,77,383869110
20232,A,골목상권,3110041,남산케이블카,15,59,36,9,13,13,3,53,24,9,6,2,33,77,383869110
20233,A,골목상권,3110041,남산케이블카,15,59,36,9,13,13,3,53,24,9,6,2,33,77,383869110
20231,A,골목상권,3110042,남산골공원옆,28,156,45,21,5,5,19,136,15,42,9,7,4,63,242882536
20232,A,골목상권,3110042,남산골공원옆,28,156,45,21,5,5,19,136,15,42,9,7,4,63,242882536
20233,A,골목상권,3110042,남산골공원옆,28,156,45,21,5,5,19,136,15,42,9,7,4,63,242882536
20231,A,골목상권,3110043,충무초등학교,130,1115,24,4,3,1,574,389,171,9,3,1,0,37,126931883
20232,A,골목상권,3110043,충무초등학교,130,1115,24,4,3,1,574,389,171,9,3,1,0,37,126931883
20233,A,골목상권,3110043,충무초등학교,130,1115,24,4,3,1,574,389,171,9,3,1,0,37,126931883
20231,A,골목상권,3110044,관성묘,129,1106,26,4,2,0,582,389,156,8,2,1,0,37,123998798
20232,A,골목상권,3110044,관성묘,129,1106,26,4,2,0,582,389,156,8,2,1,0,37,123998798
20233,A,골목상권,3110044,관성묘,129,1106,26,4,2,0,582,389,156,8,2,1,0,37,123998798
20231,A,골목상권,3110045,동대문역사문화공원역 5번,23,142,29,15,3,10,42,66,61,14,5,0,11,62,277492194
20232,A,골목상권,3110045,동대문역사문화공원역 5번,23,142,29,15,3,10,42,66,61,14,5,0,11,62,277492194
20233,A,골목상권,3110045,동대문역사문화공원역 5번,23,142,29,15,3,10,42,66,61,14,5,0,11,62,277492194
20231,A,골목상권,3110046,버티고개,281,1812,268,109,37,52,366,1340,241,149,48,31,103,62,201421045
20232,A,골목상권,3110046,버티고개,281,1812,268,109,37,52,366,1340,241,149,48,31,103,62,201421045
20233,A,골목상권,3110046,버티고개,281,1812,268,109,37,52,366,1340,241,149,48,31,103,62,201421045
20231,A,골목상권,3110047,다산성곽길,238,1399,263,66,33,61,278,932,360,143,43,16,50,62,196652430
20232,A,골목상권,3110047,다산성곽길,238,1399,263,66,33,61,278,932,360,143,43,16,50,62,196652430
20233,A,골목상권,3110047,다산성곽길,238,1399,263,66,33,61,278,932,360,143,43,16,50,62,196652430
20231,A,골목상권,3110048,장충동주민센터,136,761,256,44,10,55,62,392,458,124,24,3,63,64,285967901
20232,A,골목상권,3110048,장충동주민센터,136,761,256,44,10,55,62,392,458,124,24,3,63,64,285967901
20233,A,골목상권,3110048,장충동주민센터,136,761,256,44,10,55,62,392,458,124,24,3,63,64,285967901
20231,A,골목상권,3110049,장충단 고개,124,615,264,46,10,65,20,339,398,131,24,3,85,69,310941632
20232,A,골목상권,3110049,장충단 고개,124,615,264,46,10,65,20,339,398,131,24,3,85,69,310941632
20233,A,골목상권,3110049,장충단 고개,124,615,264,46,10,65,20,339,398,131,24,3,85,69,310941632
20231,A,골목상권,3110053,청구역 1번,92,467,252,53,12,4,41,259,265,93,48,7,75,59,280406790
20232,A,골목상권,3110053,청구역 1번,92,467,252,53,12,4,41,259,265,93,48,7,75,59,280406790
20233,A,골목상권,3110053,청구역 1번,92,467,252,53,12,4,41,259,265,93,48,7,75,59,280406790
20231,A,골목상권,3110054,청구역 3번,120,665,288,73,2,2,31,382,282,110,35,35,155,59,296924601
20232,A,골목상권,3110054,청구역 3번,120,665,288,73,2,2,31,382,282,110,35,35,155,59,296924601
20233,A,골목상권,3110054,청구역 3번,120,665,288,73,2,2,31,382,282,110,35,35,155,59,296924601
20231,A,골목상권,3110055,황학동벼룩시장,15,90,38,11,0,0,16,61,23,1,2,11,25,57,273071669
20232,A,골목상권,3110055,황학동벼룩시장,15,90,38,11,0,0,16,61,23,1,2,11,25,57,273071669
20233,A,골목상권,3110055,황학동벼룩시장,15,90,38,11,0,0,16,61,23,1,2,11,25,57,273071669
20232,A,골목상권,3110056,신당역 3번,121,615,481,154,49,0,35,234,231,89,24,105,581,69,487744184
20233,A,골목상권,3110056,신당역 3번,121,615,481,154,49,0,35,234,231,89,24,105,581,69,487744184
20231,A,골목상권,3110079,후암동주민센터,377,1884,743,101,77,61,64,706,1005,648,185,93,165,61,286365576
20232,A,골목상권,3110079,후암동주민센터,377,1884,743,101,77,61,64,706,1005,648,185,93,165,61,286365576
20233,A,골목상권,3110079,후암동주민센터,377,1884,743,101,77,61,64,706,1005,648,185,93,165,61,286365576
20231,A,골목상권,3110080,해방촌예술마을,299,1608,289,34,19,6,62,784,785,260,26,22,17,52,223823895
20232,A,골목상권,3110080,해방촌예술마을,299,1608,289,34,19,6,62,784,785,260,26,22,17,52,223823895
20233,A,골목상권,3110080,해방촌예술마을,299,1608,289,34,19,6,62,784,785,260,26,22,17,52,223823895
20231,A,골목상권,3110081,해방촌 남동측,346,1670,324,12,67,12,90,895,652,106,29,20,293,53,254629445
20232,A,골목상권,3110081,해방촌 남동측,346,1670,324,12,67,12,90,895,652,106,29,20,293,53,254629445
20233,A,골목상권,3110081,해방촌 남동측,346,1670,324,12,67,12,90,895,652,106,29,20,293,53,254629445
20231,A,골목상권,3110050,약수역 7번,144,856,337,121,10,2,83,534,403,98,19,10,179,62,271069695
20232,A,골목상권,3110050,약수역 7번,144,856,337,121,10,2,83,534,403,98,19,10,179,62,271069695
20233,A,골목상권,3110050,약수역 7번,144,856,337,121,10,2,83,534,403,98,19,10,179,62,271069695
20231,A,골목상권,3110051,한양공고앞 교차로,61,380,95,1,0,4,46,232,176,20,3,1,2,50,192246168
20232,A,골목상권,3110051,한양공고앞 교차로,61,380,95,1,0,4,46,232,176,20,3,1,2,50,192246168
20233,A,골목상권,3110051,한양공고앞 교차로,61,380,95,1,0,4,46,232,176,20,3,1,2,50,192246168
20231,A,골목상권,3110052,장충초등학교,140,728,319,50,21,44,25,430,440,147,31,2,87,65,293724291
20233,A,골목상권,3110052,장충초등학교,140,728,319,50,21,44,25,430,440,147,31,2,87,65,293724291
20231,A,골목상권,3110060,효창공원앞역 6번,259,1498,592,122,10,0,39,409,801,486,67,34,386,57,344642107
20232,A,골목상권,3110060,효창공원앞역 6번,259,1498,592,122,10,0,39,409,801,486,67,34,386,57,344642107
20233,A,골목상권,3110060,효창공원앞역 6번,259,1498,592,122,10,0,39,409,801,486,67,34,386,57,344642107
20231,A,골목상권,3110061,효창동주민센터,217,1100,705,228,30,10,33,372,624,309,149,54,532,65,391506511
20232,A,골목상권,3110061,효창동주민센터,217,1100,705,228,30,10,33,372,624,309,149,54,532,65,391506511
20233,A,골목상권,3110061,효창동주민센터,217,1100,705,228,30,10,33,372,624,309,149,54,532,65,391506511
20231,A,골목상권,3110062,한강로동땡땡거리(은행나무길),50,262,172,26,13,3,0,4,37,64,86,25,260,62,615287482
20232,A,골목상권,3110062,한강로동땡땡거리(은행나무길),50,262,172,26,13,3,0,4,37,64,86,25,260,62,615287482
20233,A,골목상권,3110062,한강로동땡땡거리(은행나무길),50,262,172,26,13,3,0,4,37,64,86,25,260,62,615287482
20231,A,골목상권,3110063,효창공원앞역 5번,151,1029,265,53,15,0,21,255,546,216,52,19,253,50,368607516
20232,A,골목상권,3110063,효창공원앞역 5번,151,1029,265,53,15,0,21,255,546,216,52,19,253,50,368607516
20233,A,골목상권,3110063,효창공원앞역 5번,151,1029,265,53,15,0,21,255,546,216,52,19,253,50,368607516
20231,A,골목상권,3110064,효창공원앞역 2번,271,1722,544,129,33,22,51,547,1022,464,158,47,161,55,294914809
20232,A,골목상권,3110064,효창공원앞역 2번,271,1722,544,129,33,22,51,547,1022,464,158,47,161,55,294914809
20233,A,골목상권,3110064,효창공원앞역 2번,271,1722,544,129,33,22,51,547,1022,464,158,47,161,55,294914809
20231,A,골목상권,3110082,용산구청,37,190,69,21,15,3,4,41,50,73,86,29,15,65,378942390
20232,A,골목상권,3110082,용산구청,37,190,69,21,15,3,4,41,50,73,86,29,15,65,378942390
20233,A,골목상권,3110082,용산구청,37,190,69,21,15,3,4,41,50,73,86,29,15,65,378942390
20231,A,골목상권,3110083,서빙고역 1번,59,253,99,12,44,12,1,40,25,22,31,30,271,61,769378539
20232,A,골목상권,3110083,서빙고역 1번,59,253,99,12,44,12,1,40,25,22,31,30,271,61,769378539
20233,A,골목상권,3110083,서빙고역 1번,59,253,99,12,44,12,1,40,25,22,31,30,271,61,769378539
20231,A,골목상권,3110084,경리단길북측,284,1208,414,74,107,50,69,530,534,226,92,50,352,64,324631249
20232,A,골목상권,3110084,경리단길북측,284,1208,414,74,107,50,69,530,534,226,92,50,352,64,324631249
20233,A,골목상권,3110084,경리단길북측,284,1208,414,74,107,50,69,530,534,226,92,50,352,64,324631249
20231,A,골목상권,3110085,경리단길남측,167,518,274,138,138,114,15,151,276,214,136,75,315,87,444813418
20232,A,골목상권,3110085,경리단길남측,167,518,274,138,138,114,15,151,276,214,136,75,315,87,444813418
20233,A,골목상권,3110085,경리단길남측,167,518,274,138,138,114,15,151,276,214,136,75,315,87,444813418
20231,A,골목상권,3110086,이태원역 북측,140,389,216,145,101,131,12,141,195,194,121,72,247,92,455552376
20232,A,골목상권,3110086,이태원역 북측,140,389,216,145,101,131,12,141,195,194,121,72,247,92,455552376
20233,A,골목상권,3110086,이태원역 북측,140,389,216,145,101,131,12,141,195,194,121,72,247,92,455552376
20231,A,골목상권,3110065,남정초등학교,64,490,84,35,12,0,2,92,321,75,10,4,117,46,378644821
20232,A,골목상권,3110065,남정초등학교,64,490,84,35,12,0,2,92,321,75,10,4,117,46,378644821
20233,A,골목상권,3110065,남정초등학교,64,490,84,35,12,0,2,92,321,75,10,4,117,46,378644821
20231,A,골목상권,3110066,서울역 15번,218,978,378,8,2,0,32,419,551,187,72,12,93,54,267871254
20232,A,골목상권,3110066,서울역 15번,218,978,378,8,2,0,32,419,551,187,72,12,93,54,267871254
20233,A,골목상권,3110066,서울역 15번,218,978,378,8,2,0,32,419,551,187,72,12,93,54,267871254
20231,A,골목상권,3110067,배문고등학교,425,2142,614,60,11,3,46,888,1281,446,134,28,7,55,245292260
20232,A,골목상권,3110067,배문고등학교,425,2142,614,60,11,3,46,888,1281,446,134,28,7,55,245292260
20233,A,골목상권,3110067,배문고등학교,425,2142,614,60,11,3,46,888,1281,446,134,28,7,55,245292260
20231,A,골목상권,3110068,남영역 1번,202,1325,409,115,40,21,46,353,766,330,116,35,264,55,340688537
20232,A,골목상권,3110068,남영역 1번,202,1325,409,115,40,21,46,353,766,330,116,35,264,55,340688537
20233,A,골목상권,3110068,남영역 1번,202,1325,409,115,40,21,46,353,766,330,116,35,264,55,340688537
20231,A,골목상권,3110069,숙대입구,268,1520,356,82,27,3,51,570,878,343,96,25,25,57,255401089
20232,A,골목상권,3110069,숙대입구,268,1520,356,82,27,3,51,570,878,343,96,25,25,57,255401089
20233,A,골목상권,3110069,숙대입구,268,1520,356,82,27,3,51,570,878,343,96,25,25,57,255401089
20231,A,골목상권,3110070,용산세무서,18,46,63,29,55,9,0,0,0,3,3,4,192,97,1194620370
20232,A,골목상권,3110070,용산세무서,18,46,63,29,55,9,0,0,0,3,3,4,192,97,1194620370
20233,A,골목상권,3110070,용산세무서,18,46,63,29,55,9,0,0,0,3,3,4,192,97,1194620370
20231,A,골목상권,3110071,한강미주맨션아파트,50,82,133,101,108,163,0,0,0,2,3,8,574,126,1334546010
20232,A,골목상권,3110071,한강미주맨션아파트,50,82,133,101,108,163,0,0,0,2,3,8,574,126,1334546010
20233,A,골목상권,3110071,한강미주맨션아파트,50,82,133,101,108,163,0,0,0,2,3,8,574,126,1334546010
20231,A,골목상권,3110072,열정도,42,223,162,60,5,0,13,58,137,29,20,14,179,61,470389506
20232,A,골목상권,3110072,열정도,42,223,162,60,5,0,13,58,137,29,20,14,179,61,470389506
20233,A,골목상권,3110072,열정도,42,223,162,60,5,0,13,58,137,29,20,14,179,61,470389506
20231,A,골목상권,3110073,삼각지역 3번,32,200,55,17,0,0,0,26,116,28,31,10,61,47,420790546
20232,A,골목상권,3110073,삼각지역 3번,32,200,55,17,0,0,0,26,116,28,31,10,61,47,420790546
20233,A,골목상권,3110073,삼각지역 3번,32,200,55,17,0,0,0,26,116,28,31,10,61,47,420790546
20231,A,골목상권,3110074,서울역 12번,164,752,395,55,38,46,3,139,401,307,205,69,162,66,376907920
20232,A,골목상권,3110074,서울역 12번,164,752,395,55,38,46,3,139,401,307,205,69,162,66,376907920
20233,A,골목상권,3110074,서울역 12번,164,752,395,55,38,46,3,139,401,307,205,69,162,66,376907920
20231,A,골목상권,3110075,숙대입구역 1번,111,471,332,29,18,2,0,81,216,241,212,66,36,64,375679983
20232,A,골목상권,3110075,숙대입구역 1번,111,471,332,29,18,2,0,81,216,241,212,66,36,64,375679983
20233,A,골목상권,3110075,숙대입구역 1번,111,471,332,29,18,2,0,81,216,241,212,66,36,64,375679983
20231,A,골목상권,3110076,삼각지역 14번,13,51,21,17,29,0,0,0,30,6,14,7,61,73,634274476
20232,A,골목상권,3110076,삼각지역 14번,13,51,21,17,29,0,0,0,30,6,14,7,61,73,634274476
20233,A,골목상권,3110076,삼각지역 14번,13,51,21,17,29,0,0,0,30,6,14,7,61,73,634274476
20231,A,골목상권,3110077,삼광초등학교,196,921,538,63,66,33,10,203,492,458,273,93,92,67,352968940
20232,A,골목상권,3110077,삼광초등학교,196,921,538,63,66,33,10,203,492,458,273,93,92,67,352968940
20233,A,골목상권,3110077,삼광초등학교,196,921,538,63,66,33,10,203,492,458,273,93,92,67,352968940
20231,A,골목상권,3110078,이촌동점보아파트,45,47,120,184,88,94,0,0,0,0,0,0,533,121,1437889310
20232,A,골목상권,3110078,이촌동점보아파트,45,47,120,184,88,94,0,0,0,0,0,0,533,121,1437889310
20233,A,골목상권,3110078,이촌동점보아파트,45,47,120,184,88,94,0,0,0,0,0,0,533,121,1437889310
20231,A,골목상권,3110110,상왕십리역 6번,57,298,268,41,0,0,6,73,133,29,25,89,252,65,543164622
20232,A,골목상권,3110110,상왕십리역 6번,57,298,268,41,0,0,6,73,133,29,25,89,252,65,543164622
20233,A,골목상권,3110110,상왕십리역 6번,57,298,268,41,0,0,6,73,133,29,25,89,252,65,543164622
20231,A,골목상권,3110111,대현산장미원,178,1097,178,110,0,0,409,544,0,0,45,130,257,54,210402472
20232,A,골목상권,3110111,대현산장미원,178,1097,178,110,0,0,409,544,0,0,45,130,257,54,210402472
20233,A,골목상권,3110111,대현산장미원,178,1097,178,110,0,0,409,544,0,0,45,130,257,54,210402472
20231,A,골목상권,3110087,이태원엔틱가구거리,51,211,51,49,46,40,2,22,32,85,74,30,152,73,612216295
20232,A,골목상권,3110087,이태원엔틱가구거리,51,211,51,49,46,40,2,22,32,85,74,30,152,73,612216295
20233,A,골목상권,3110087,이태원엔틱가구거리,51,211,51,49,46,40,2,22,32,85,74,30,152,73,612216295
20231,A,골목상권,3110088,오산고등학교,159,492,282,67,104,99,0,4,11,10,51,101,867,75,887905823
20232,A,골목상권,3110088,오산고등학교,159,492,282,67,104,99,0,4,11,10,51,101,867,75,887905823
20233,A,골목상권,3110088,오산고등학교,159,492,282,67,104,99,0,4,11,10,51,101,867,75,887905823
20231,A,골목상권,3110089,서빙고동주민센터,127,444,235,38,62,2,0,18,24,24,19,60,636,63,883645325
20232,A,골목상권,3110089,서빙고동주민센터,127,444,235,38,62,2,0,18,24,24,19,60,636,63,883645325
20233,A,골목상권,3110089,서빙고동주민센터,127,444,235,38,62,2,0,18,24,24,19,60,636,63,883645325
20231,A,골목상권,3110090,한국폴리텍대학서울정수캠퍼스,101,304,233,59,88,121,0,1,2,15,49,73,665,85,921162859
